paper_id,abstract
1195,"After a decade of generalized floating, it is clear that bilateral exchange rates exhibit more variability than the economic aggregates; relative prices, incomes, and money supplies, that generally comprise the fundamentals of theories of exchange rate determination. Dornbush's over-shooting hypothesis is the best known explanation of this phenomenon. This paper shows that accommodative monetary policy (with respect to prices) has the potential to cause the economy to switch from exchange rate overshooting to undershooting. Using constrained maximum likelihood methods, the model is estimated for Germany and the United States. The results provide strong evidence in support of the overshooting hypothesis for the Deutsche Mark/Dollar exchange rate."
1244,"The hypothesis of exchange rate over shooting is investigated in the context of a model that incorporates activist monetary policy, variable output, imperfect capital mobility, and slow price adjustment. Monetary policy which accommodates prices and/or interest rates is shown to increase the likelihood of undershooting. Using constrained maximum likelihood methods,the model is estimated for Germany and Japan since the advent of generalized floating in 1973. Based on the estimated parameter values, the mark exhibits overshooting while the yen is characterized by undershooting. The constraints implied by the model cannot (by likelihood ratio tests) be rejected at standard significance levels for either country."
1286,"This paper uses an option valuation model of the firm to answer the question, ""What magnitude tax advantage to debt is consistent with the range of observed corporate debt ratios?"" We incorporate into the model differential personal tax rates on capital gains and ordinary income. We conclude that variations in the magnitude of bankruptcy costs across firms can not by itself account for the simultaneous existence of levered and unlevered firms. When it is possible for the value of the underlying assets to junip discretely to zero, differences across firms in the probability of this jump can account for the simultaneous existence of levered and unlevered firms. Moreover, if the tax advantage to debt is small, the annual rate of return advantage offered by optimal leverage may be so small as to make the firm indifferent about debt policy over a wide range of debt-to-firm value ratios."
1439,"Equilibrium in the market for real assets requires that the price of those assets be bid up to reflect the tax shields they can offer to levered firms.Thus there must be an equality between the market values of real assets and the values of optimally levered firms. The standard measure of the advantage to leverage compares the values of levered and unlevered assets, and can be misleading and difficult to interpret. We show that a meaningful measure of the advantage to debt is the extra rate of return, net of a market premium for bankruptcy risk, earned by a levered firm relative to an otherwise-identical unlevered firm. We construct an option valuation model to calculate such a measure and present extensive simulation results. We use this model to compute optimal debt maturities, show how this approach can be used for capital budgeting, and discuss its implications for the comparison of bankruptcy costs versus tax shields."
1528,"This paper is a study of the dynamic relationships between two demographic variables--the infant mortality rate and the fertility rate-- using time series methodology. I believe that I have shown that infant mortality and fertility are not independent but rather are jointly determined. Also, i believe that I have shown that a decline in infant mortality that is due to an increase in per capita real income triggers a subsequent decline in fertility.This dynamic nexus between changes in infant mortality and fertilitylies at the heart of the so-called ""demographic transition."""
1824,"This paper analyzes strategic monetary policies using a standard two country stochastic macro model. Three noncooperative equilibria, namely Cournot, Stackelberg, and Consistent Conjectural Variations, are considered.The Pareto Optimal equilibrium, where aggregate joint costs are minimizedis also considered, and all strategic equilibria are compared to the perfectly fixed and flexible exchange rate regimes. The main conclusions obtained are:(i) Demand shocks are much less problematical than supply disturbances from the viewpoint of macro stabilization; (ii) the gains from cooperation are typically small; (iii) the strategic equilibria all show substantial margins of superiority over the fixed and flexible regimes."
2059,"The existing literature on international macroeconomic policy coordination makes the unrealistic assumption that policy-makers all know the true model, from which it follows in general that the Nash bargaining solution is superior to the Nash non-cooperative solution. But everything changes once we recognize that policy-makers' models differ from each other and therefore from the ""true"" model. It is still true that the two countries will in general be able to agree on a cooperative policy package that each believes will improve the objective function relative to the Nash non-cooperative solution. However, the bargaining solution is as likely to move the target variables in the wrong direction as in the right direction, in the light of a third true model. This paper illustrates these theoretical points with monetary and fiscal multipliers taken from simulations of eight leading international econometric models. (It is a sequel to NBER Working Paper 1925, which considered coordination between the domestic monetary and fiscal authorities.) Here we first consider coordination between U.S. and non-U.S. central banks. We find that out of 512 possible combinations of models that could represent U.S. beliefs, non-U.S. beliefs and the true model, coordination improves U.S. welfare in only 289 cases, reducing it in 206, and improves the welfare of other OECD countries in only 297 cases, reducing it in 198. Then we consider coordination with both monetary and fiscal policy. We find that out of 512 combinations, coordination improves U.S. welfare in 183 cases, reducing it in 228, and improves the welfare of other OECD countries in 283 cases, reducing it in 219. A final section of the paper considers possible extensions of the framework, dealing with uncertainty."
2214,"In this paper a general equilibrium intertemporal model, with optimizing consumers and producers, is developed to analyze how the anticipation of future import tariffs affects real exchange rates and the current account. The model is completely real, and considers a small open economy that produces and consumes three goods each period. It is shown that, without imposing rigidities or adjustment costs, interesting paths for the equilibrium real exchange rate can be generated. In particular ""equilibrium overshooting"" can be observed. Precise conditions under which an anticipated future import tariff will worsen the current account in period 1 are derived. Several ways in which the model can be extended are also discussed in detail. The results obtained from this model have important implications for the analysis of real exchange rate misalignment and overvaluation."
2467,"This paper develops strategic monetary policies using a standard two-country macro model under flexible exchange rates. The equilibria considered include feedback Nash and feedback Stackelberg, both of which are compared to the Pareto optimal cooperative equilibrium. The optimal policies are obtained as feedback rules in which real money supplies are adjusted to movements in the real exchange rate. The properties of these policies and their welfare implications are analyzed using numerical simulations. The contrast in the present results with those obtained previously for a short-run horizon suggest the importance of both intertemporal and intratemporal tradeoffs in the determination of optimal strategic policies."
2505,"Coordination of macroeconomic policies among countries is not as straightforward in practice as it appears in theory. This paper discusses three obstacles to successful international coordination: (1) uncertainty as to the correct initial position of the economy, (2) uncertainty as to the correct objective, and (3) uncertainty as to the correct model linking policy actions to their effects in the economy. Previous results (NBER Working Paper No. 2059) showed that coordination under conditions of policy-maker disagreement about the correct model could very well reduce national welfare rather than raise it. This paper extends those results to allow for explicit policy-maker recognition of uncertainty regarding the correct model, as well as uncertainty regarding the model to which other policy-makers subscribe. It also shows that the potential gains from coordination, even when positive, are usually small relative to the gains from unilateral policy changes based on improved knowledge of the model."
2629,"In this paper a general equilibrium intertemporal model with optimizing consumers and producers is developed to analyze how the temporary term's of trade disturbances affect the path of real exchange rates and the current account. Changes in the internal terms of trade (due to tariff changes) and to the external terms of trade are considered. The model is completely real, and considers a small open economy that produces and consumes three goods each period. It is shown that, without imposing rigidities or adjustment costs, interesting paths for the equilibrium real exchange rate can be generated. In particular ""equilibrium overshooting"" can be observed. Precise conditions under which a temporary import tariff will worsen the current account in period 1 are derived. The way in which temporary and permanent external terms of trade shocks will affect the current account are analyzed. Several ways in which the model can be extended are discussed The results obtained from this model have important implications for the design of balance of payments policy and for the analysis of real exchange rate misalignment and overvaluation."
2660,"The option value model developed in an earlier paper is used to simulate the effect on retirement of changes in a firm's pension plan compared to the effect of changes in Social Security provisions. The provisions of the firm's pension plan have a much greater effect than Social Security regulations on the retirement decisions of the firm's employees. The analysis supports the following conclusions: (1) Increasing the firm's early retirement age from 55 to 60, for example, would reduce by almost 40 percent, from .48 to .30, the fraction of employees that is retired by age 60. (2) The effect of changes in Social Security rules, on the other hand, would be small. Raising the Social Security retirement ages by one year, for example, has very little effect on employee retirement rates. The proportion retired by age 62 is reduced by only about 4 percent. (3) Changes in Social Security provisions that would otherwise encourage workers to continue working can easily be offset by countervailing changes in the provisions of the firm's pension plan. Firm responses, like delaying the Social Security offset to correspond to m later Social Security retirement age, may simply be m logical revision of current firm plan provisions."
2686,"The paper develops a model of retirement based on the option value of continuing to work. Continuing to work maintains the option of retiring on more advantageous terms later. The model is used to estimate the effects on retirement of firm pension plan provisions. Typical defined benefit pension plans in the United States provide very substantial incentives to remain with the firm until some age, often the early retirement age, and then a strong incentive to leave the firm thereafter. (This may be a major reason for the rapidly declining labor force participation rates of older workers in the United States.) The model fits firm retirement data very well; it captures very closely the sharp discontinuous jumps in retirement rates at specific ages. The model is used to simulate the effect on retirement of potential changes in pension plan provisions. Increasing the age of early retirement from 55 to 60, for example, would reduce firm departure rates between ages 50 and 59 by almost forty percent."
3629,"This paper explores the impact of incomplete markets and strong complementarities on the time series properties of aggregate activity. We consider an economy which consists of a large number of industries whose production functions both are nonconvex and exhibit localized technological complementarities. The productivity of each industry at t is determined by the production decisions of technologically similar industries at t - 1. No markets exist to coordinate production decisions. This feature implies that aggregate output dynamics for the model are quite different from those predicted by the associated Arrow-Debreu economy. First, multiple stochastic equilibria exist in aggregate activity. These equilibria are distinguished by differences in the mean and the variance of output. Second, output movements are persistent as aggregate productivity shocks indefinitely affect real activity by shifting the economy across equilibria. As a result, the model can exhibit periods of boom and depression."
3718,"This paper studies an economy in which incomplete markets and strong complementarities interact to generate path dependent aggregate output fluctuations. An economy is said to be path dependent when the effect of a shock on the level of aggregate output is permanent in the absence of future offsetting shocks. Extending the model developed in Durlauf 11991(a),(b)). we analyze the evolution of an economy which consists of a countable infinity of industries. The production functions of individual firms in each industry are nonconvex and are linked through localized technological complementarities. The productivity of each firm at t is determined by the production decisions of technologically similar industries at t-1. No markets exist which allow firms and industries to exploit complementarities by coordinating production decisions. This market incompleteness produces several interesting effects on aggregate output behavior. First, multiple stochastic equilibria exist in aggregate activity. These equilibria are distinguished by differences in both the mean and the variance of output. Second, output movements are path dependent as aggregate productivity shocks indefinitely affect real activity by shifting the economy across equilibria. Third, when aggregate shocks are recurrent, the economy cycles between periods of boom and depression. Simulations of example economies illustrate how market incompleteness can produce rich aggregate dynamics."
3872,"The cost of excess capacity in the hospital industry has reemerged as an important policy issue. Utilized capacity in the hospital industry, as measured by the inpatient hospital bed occupancy rate, has declined over the past 10 years and now stands at approximately 65 percent. Congress and the Administration are concerned that the costs associated with empty beds represent wasteful expense and have proposed an adjustment to Medicare payment rates which will penalize hospitals with low occupancy rates. Hospitals, on the other hand, have indicated that the costs of empty hospital beds are low and that reimbursement adjustments are unnecessary. In order to provide more current and representative estimates of the cost of an empty hospital bed we estimate the cost function model of Friedman and Pauly using data from a national sample of 5315 hospitals for the years 1963-1987. We find that empty beds account for approximately 18 percent of total costs, or $546 per admission (1987 dollars) . The estimate (in 1987 dollars) of the coat of an empty hospital bed is approximately $36,000."
3974,"Several recent papers provide strong empirical support for the view that an expansionary monetary policy disturbance generates a persistent decrease in interest rates and a persistent increase in output and employment. Existing quantitative general equilibrium models, which allow for capital accumulation, are inconsistent with this view. There does exist a recently developed class of general equilibrium models which can rationalize the contemporaneous response of interest rates, output, and employment to a money supply shock. However, a key shortcoming of these models is that they cannot rationalize persistent liquidity effects. This paper discusses the basic frictions and mechanisms underlying this new class of models and investigates one avenue for generating persistence. We argue that once a simplified version of the model in Christiano and Eichenbaum (1991) is modified to allow for extremely small costs of adjusting sectoral flow of funds, positive money shocks generate long-lasting, quantitatively significant liquidity effects, as well as persistent increases in aggregate economic activity."
4129,"This paper presents new empirical evidence to support the hypothesis that positive money supply shocks drive short-term interest rates down. We then present a quantitative, general equilibrium model which is consistent with the hypothesis. The two key features of our model are that (i) money shocks have a heterogeneous impact on agents and (ii) ex post inflexibilities in production give rise to a very low short-run interest elasticity of money demand. Together, these imply that, in our model, a positive money supply shock generates a large drop in the interest rate comparable in magnitude to what we find in the data. In sharp contrast to sticky nominal wage models, our model implies that positive money supply shocks lead to increases in the real wage. We report evidence that this is consistent with the U.S. data. Finally, we show that our model can rationalize a version of the Real Bills Doctrine in which the monetary authority accommodates technology shocks, thereby smoothing interest rates."
4460,"One of the fundamental facts of the environment hospitals face is uncertainty over demand for their services. This uncertainty leads hospitals to hold excess standby capacity to avoid turning away patients. In this paper we reformulate the theory of cost and production to take account of this uncertainty. We then use this model to calculate the cost of empty hospital beds. Utilized capacity in the hospital industry, as measured by the inpatient hospital bed occupancy rate, has gradually declined since 1980 and was approximately 65 percent in 1992. Congress and the Administration are concerned that the costs associated with empty beds represent wasteful expense and some have proposed an adjustment to Medicare payment rates which will penalize hospitals with low occupancy rates. We estimate a short run cost function for a hospital facing uncertain demand using data from a national sample of over 5000 hospitals for the years 1983-1987. The traditional cost model is strongly rejected in favor of the reformulated model. We calculate the cost of an empty hospital bed as $61,395 in 1987 dollars. We estimate that a one percent decrease in the number of hospital beds would decrease hospital costs by slightly over one-half of one percent. These costs are substantial, but smaller than some others have indicated."
4909,"Growth and democracy (subjective indexes of political freedom) are analyzed for a panel of about 100 countries from 1960 to 1990. The favorable effects on growth include maintenance of the rule of law, free markets, small government consumption, and high human capital.  Once these kinds of variables and the initial level of real per-capita GDP are held constant, the overall effect of democracy on growth is weakly negative.  There is a suggestion of a nonlinear relationship in which democracy enhances growth at low levels of political freedom but depresses growth when a moderate level of freedom has already been attained.  Improvements in the standard of living - measured by GDP, life expectancy, and education - substantially raise the probability that political freedoms will grow. These results allow for predictions about which countries will become more or less democratic in the future."
5549,"This paper has two purposes.  It introduces a direct approach to policy analysis in endogenous growth models - the q-theory approach - and uses this to illustrate several new openness-and-growth links that appear when we enrich the economic content of the early trade and growth models.  The approach - inspired by Tobin's q - is merely a change of state variables and re-interpretation of steady-state conditions.  The main difference is its focus on investment, which is after all, the heart of growth models.  The approach's simplicity permits us to complicate the early models in interesting directions and to explicitly include trade barriers.  The latter allows study of incremental policy reform rather than mere shifts from autarky to free trade (or small deviations from free trade) as in early literature."
5698,"Empirical findings for a panel of around 100 countries from 1960 to 1990 strongly support the general notion of conditional convergence.  For a given starting level of real per capita GDP, the growth rate is enhanced by higher initial schooling and life expectancy, lower fertility, lower government consumption, better maintenance of the rule of law, lower inflation, and improvements in the terms of trade. For given values of these and other variables, growth is negatively related to the initial level of real per capita GDP.  Political freedom has only a weak effect on growth but there is some indication of a nonlinear relation.  At low levels of political rights, an expansion of these rights stimulates economic growth.  However, once a moderate amount of democracy has been attained, a further expansion reduces growth. In contrast to the small effect of democracy on growth, there is a strong positive influence of the standard of living on a country's propensity to experience democracy."
5797,Inflation targeting is shown to imply inflation forecast targeting: the central bank's inflation forecast becomes an explicit intermediate target.  Inflation forecast targeting simplifies both implementation and monitoring of monetary policy. The weight on output stabilization determines how quickly the inflation forecast is adjusted towards the inflation target. Money growth or exchange rate targeting is generally inferior to inflation targeting and leads to higher inflation variability. Commitment to commitment to
5912,"Together, pensions, social security and health insurance account for half of the wealth held by all households in the Health and Retirement Study (HRS), for 60 percent of total wealth of HRS households who are in the 45th to 55th wealth percentiles, and even for 48 percent of wealth for those in the 90th to 95th wealth percentiles.  The HRS surveys households aged 51 to 61 in 1992, and obtains pension plan descriptions from respondents' employers.  Pension accrual profiles, income and wealth distributions by type, wealth-income ratios and accrued wealth by pension status are also explored."
5927,"This paper uses 1990 Census data to study the effects of immigrant inflows on the labor market opportunities of natives and older immigrants.  I divide new immigrants, older immigrants, and natives into distinct skill groups and focus on skill-group-specific outcomes within cities.  An important first question is"" whether inflows of new immigrants lead to outflows of natives or earlier immigrants in the same skill groups.  Even after accounting for endogenous mobility decisions I find that inter-city migration flows of natives and older immigrants are largely"" unaffected by new immigrant inflows.  Inflows of new immigrants are associated with lower employment rates among natives and earlier immigrants, but with relatively small effects on the relative wage structure.  The estimates imply that immigrant arrivals between 1985 and 1990 depressed the employment rate of low-skilled natives in major U.S. cities by 1-2 percentage points on average, and by substantially more in high-immigrant cities."
5962,"Previous analysis of the implementation of inflation targeting is extended to monetary policy responses to different shocks, consequences of model uncertainty, effects of interest rate smoothing and stabilization, a comparison with nominal GDP targeting, and implications of forward-looking behavior.  Model uncertainty, output stabilization, and interest rate stabilization or smoothing all call for a more gradual adjustment of the conditional inflation forecast toward the inflation target.  The  conditional inflation forecast is the natural intermediate target during inflation targeting."
6127,"The primary goal of a national minimum wage floor is to raise the incomes of poor or near-poor families with members in the work force. However, estimates of employment effects of minimum wages tell us little about whether minimum wages are can achieve this goal; even if the disemployment effects of minimum wages are modest, minimum wage increases could result in net income losses for poor families. We present evidence on the effects of minimum wages on family incomes from matched March CPS surveys, focusing on the effectiveness of minimum wages in reducing poverty. The results show that over a one-to-two year period, minimum wages increase both the probability that poor families escape poverty and the probability that previously non-poor families fall into poverty.  The estimated increase in the number of non-poor families that fall into poverty is larger than the estimated increase in the number of poor families that escape poverty, though this difference is not statistically significant.  We also find that minimum wages tend to boost the incomes of poor families that remain below the poverty line. The evidence indicates that in the wake of minimum wage increases, some families gain and others lose.  On net, the various tradeoffs created by minimum wage increases more closely resemble income redistribution among low-income families than income redistribution from high- to low-income families.  Given these findings it is difficult to make a distributional or equity argument for minimum wages."
6331,"Using transactions from fine art auctions for 42 leading American contemporary artists I estimate the relationship between the value of a painting and the artist's age at the date of its execution.  The econometric estimates show that artists born before 1920 were likely to have done their most valuable work late in their careers, while in contrast artists born in the 1920s and 30s were more likely to have done their most valuable work at an early age.  Comparison of these results to evidence drawn from art history textbooks and museum exhibitions furthermore indicates that these artists' most valuable work has also been that most highly regarded by scholars.  I argue that the shift across generations in the shape of these artists' age-price profiles was a result of both the evolution of modern"" painting and a growth in the demand for contemporary American art during the 1950s and 60s."
6338,"Foreign direct investment (FDI) is observed to be a predominant form of capital flows to low and middle income countries with insufficiently developed capital markets.  This paper analyzes the problem of channeling domestic savings into productive investment in the presence of asymmetric information between the managing owners of firms and other portfolio stakeholders.  We emphasize the crucial role played by FDI in sustaining equity-financed capital investment for economies plagued by such information problems.  Similar problems also exist for foreign portfolio debt flows.  The paper identifies how, in the presence of information asymmetry, different capital market structures may lead to foreign over- or under-investment and to domestic under- or over-saving, and thus to inefficient equilibria.  We show how corrective tax-subsidy policies consisting of taxes on corporate income and the capital incomes of both residents and nonresidents can restore efficiency."
6477,"Most trade-and-growth studies focus on the growth effects of autarky-to-free-trade changes, rather than those of incremental liberalizations.  This paper characterizes how the strength and sign of openness-and-growth links depend upon the nature and level of trade barriers.  For most types of trade barriers, we find that liberalization raises or lowers growth depending upon the initial level of the barrier.  This suggests empirical studies that pool data from high and low protection nations are mis-specified, and that policy lessons based on autarky-to-free-trade results are of limited use to policymakers."
6536,"The primary goal of a national minimum wage floor is to raise the incomes of poor or near-poor families with members in the work force.  However, estimates of employment effects of minimum wages tell us relatively little about whether minimum wages are likely to achieve this goal; even if the disemployment effects of minimum wages are modest, minimum wage increases could result in net income losses for poor and low-income families. In this paper, we present evidence on the effects of minimum wages on family incomes from matched March CPS surveys.  Using non-parametric estimates of the distributions of family income relative to needs in states and years with an without minimum wage increases, we examine the effects of minimum wages on this distribution, and on the distribution of the changes in income that families experience.  Although minimum wages do increase the incomes of some poor families, the evidence indicates that the overall effects are to increase the proportion of families that are poor and near-poor, and to decrease the proportion of families with incomes between 1.5 and 3 times the poverty level."
6805,"The elderly are one of the exceptional groups in American society with access to a significant cash safety net, a means-tested program called Supplemental Security Income (SSI).  Little attention has been paid to the pre-eligibility-age labor market disincentives created by such a program.  In particular, asset and income limits might induce individuals nearing the eligibility age to work less.  There is little if any hard evidence on such incentive effects.  We exploit variation in states' supplementation of the federal SSI benefit to estimate the effects of the SSI program on pre-retirement labor supply, using data from the 1984, 1990, and 1991 panels of the Survey of Income and Program Participation.  We find some evidence that generous SSI benefits reduce the pre-retirement labor supply (and earnings) of men who are likely to participate in SSI after retirement as they near the eligibility age, especially that of men who have reached the age of eligibility for early Social Security benefits, which may be used to offset their reduced labor income."
